Farm_ID,Farmer_ID,Farm_Location,Farm_Size,Irrigation_Type,Crop_Type,Has_IoT_Sensors,Soil_Quality,Access_to_Market,Pest_Incidence,Weather_Anomalies,Proximity_to_Roads
FARM_a12581,FARMER_001,Ebonyi,3.28,Manual,Crop Farming,True,Poor,Good,Low,Rare,Close
FARM_d78fbd,FARMER_002,Kebbi,3.24,Manual,Mixed Farming,False,Poor,Poor,Low,Rare,Close
FARM_1e5531,FARMER_003,Taraba,1.48,Sprinkler,Crop Farming,False,Poor,Good,Moderate,None,Far
FARM_ac9a40,FARMER_004,Niger,1.14,Manual,Mixed Farming,False,Good,Poor,Low,Rare,Close
FARM_ce7a3d,FARMER_005,Ebonyi,4.19,Sprinkler,Livestock Farming,False,Fair,Poor,Low,Frequent,Close
FARM_b9d267,FARMER_006,Bauchi,3.9,Sprinkler,Mixed Farming,False,Fair,Good,Low,Rare,Close
FARM_9d4442,FARMER_007,Kano,1.33,Drip,Crop Farming,False,Good,Good,High,Frequent,Far
FARM_238b8f,FARMER_008,Oyo,1.51,Drip,Livestock Farming,False,Fair,Good,Moderate,None,Far
FARM_73ce29,FARMER_009,Sokoto,4.57,Manual,Mixed Farming,True,Fair,Poor,Low,Rare,Close
FARM_08be6f,FARMER_010,Kaduna,4.08,Manual,Crop Farming,False,Good,Poor,High,Frequent,Far
FARM_7b19b0,FARMER_011,Kebbi,4.98,Manual,Crop Farming,False,Fair,Poor,Moderate,Rare,Far
FARM_931a31,FARMER_012,Benue,2.02,Manual,Mixed Farming,False,Good,Poor,Low,Rare,Close
FARM_b21636,FARMER_013,Zamfara,2.95,Manual,Crop Farming,False,Poor,Poor,High,Frequent,Far
FARM_caf0d7,FARMER_014,Kano,1.95,Drip,Crop Farming,False,Fair,Poor,Moderate,None,Far
FARM_32a052,FARMER_015,Cross River,3.49,Manual,Crop Farming,False,Good,Poor,Low,None,Far
FARM_b900ba,FARMER_016,Kaduna,1.46,Manual,Crop Farming,False,Fair,Good,Low,None,Far
FARM_b96559,FARMER_017,Taraba,1.51,None,Mixed Farming,True,Fair,Poor,High,None,Close
FARM_a4966b,FARMER_018,Ebonyi,1.29,Sprinkler,Crop Farming,False,Poor,Good,Low,None,Far
FARM_9e604f,FARMER_019,Bauchi,3.77,Sprinkler,Livestock Farming,False,Good,Poor,High,None,Close
