Finance_ID,Farmer_ID,Loan_Purpose,Loan_Amount,Interest_Rate,Tenure_Months,Loan_Approval_Status,Repayment_Status,Credit Bureau Default_History,Source_of_Funding
LOAN_ce70a3,FARMER_001,Fertilizer,177192,13.72,6,Rejected,,False,Microfinance
LOAN_209ac5,FARMER_002,Land Expansion,279196,10.04,6,Approved,Fully Paid,True,NGO
LOAN_090d4f,FARMER_003,Labor,255180,22.17,6,Approved,Defaulted,False,Microfinance
LOAN_cc70cd,FARMER_004,Labor,312780,9.19,6,Rejected,,False,Bank
LOAN_276710,FARMER_005,Irrigation,312943,23.14,12,Approved,Fully Paid,True,Government
LOAN_406499,FARMER_006,Land Expansion,438807,12.19,18,Approved,Partially Paid,False,Government
LOAN_96f141,FARMER_007,Equipment,496380,5.53,12,Approved,Fully Paid,True,Government
LOAN_64ddce,FARMER_008,Land Expansion,208203,8.37,24,Approved,Defaulted,False,Bank
LOAN_d01e13,FARMER_009,Equipment,230506,22.76,18,Rejected,,False,Government
LOAN_28ac8e,FARMER_010,Land Expansion,272363,7.57,12,Approved,Fully Paid,True,Government
LOAN_8a2a35,FARMER_011,Fertilizer,166734,19.78,18,Rejected,,True,NGO
LOAN_3aee28,FARMER_012,Labor,499041,8.66,12,Approved,Partially Paid,False,NGO
LOAN_463a81,FARMER_013,Equipment,83384,14.98,24,Approved,Fully Paid,True,Microfinance
LOAN_fb35cf,FARMER_014,Equipment,298990,9.1,12,Approved,Defaulted,False,Government
LOAN_929f93,FARMER_015,Land Expansion,463473,11.66,24,Rejected,,False,Microfinance
LOAN_95e4f0,FARMER_016,Labor,237896,7.5,6,Rejected,,True,NGO
LOAN_b5caf4,FARMER_017,Irrigation,496982,16.12,12,Rejected,,False,Bank
LOAN_75d7cc,FARMER_018,Equipment,337748,12.32,6,Approved,Fully Paid,False,NGO
LOAN_703044,FARMER_019,Labor,263637,12.31,24,Approved,Fully Paid,True,Microfinance
LOAN_b5d1ef,FARMER_020,Labor,95297,5.77,6,Rejected,,True,Bank
LOAN_089b25,FARMER_021,Equipment,276210,7.72,12,Rejected,,True,Bank
LOAN_4d2efa,FARMER_022,Fertilizer,277433,19.15,18,Rejected,,False,Bank
LOAN_1d7930,FARMER_023,Fertilizer,182738,10.85,12,Approved,Fully Paid,False,Microfinance
LOAN_908692,FARMER_024,Land Expansion,216304,13.84,6,Rejected,,False,Bank
LOAN_a54d26,FARMER_025,Land Expansion,50037,20.26,6,Approved,Partially Paid,False,NGO
LOAN_c1cf61,FARMER_026,Labor,311718,13.9,12,Approved,Defaulted,False,NGO
LOAN_56e29f,FARMER_027,Equipment,267423,9.51,12,Rejected,,False,Microfinance
LOAN_46d3fd,FARMER_028,Fertilizer,224192,16.0,12,Approved,Partially Paid,False,NGO
LOAN_1158cb,FARMER_029,Labor,296010,21.02,12,Rejected,,False,Microfinance
LOAN_41a9b6,FARMER_030,Fertilizer,471208,16.99,24,Approved,Fully Paid,True,Microfinance
LOAN_496fa8,FARMER_031,Equipment,438969,13.4,18,Approved,Fully Paid,False,Bank
LOAN_663d89,FARMER_032,Fertilizer,499606,7.51,6,Approved,Fully Paid,False,Microfinance
LOAN_32c04e,FARMER_033,Irrigation,328791,9.97,24,Approved,Defaulted,False,NGO
LOAN_cb0a0b,FARMER_034,Land Expansion,243410,23.92,12,Rejected,,True,Microfinance
LOAN_35ad36,FARMER_035,Fertilizer,177556,20.44,12,Approved,Partially Paid,False,Bank
LOAN_741dbc,FARMER_036,Equipment,72911,6.75,24,Rejected,,False,Microfinance
LOAN_8d5cc8,FARMER_037,Equipment,481870,5.11,12,Approved,Fully Paid,True,Bank
LOAN_5c8249,FARMER_038,Irrigation,207062,8.51,6,Rejected,,True,Bank
LOAN_537d06,FARMER_039,Equipment,284481,23.88,6,Approved,Partially Paid,False,Bank
LOAN_028aa7,FARMER_040,Irrigation,280997,16.6,6,Approved,Partially Paid,False,Microfinance
LOAN_894b92,FARMER_041,Labor,68137,21.77,24,Rejected,,True,Microfinance
LOAN_73fc1d,FARMER_042,Fertilizer,206209,14.3,12,Rejected,,True,Government
LOAN_356e44,FARMER_043,Equipment,113960,21.53,24,Approved,Fully Paid,False,Government
LOAN_0ff9e7,FARMER_044,Land Expansion,364878,5.68,6,Rejected,,True,Government
LOAN_a96332,FARMER_045,Fertilizer,296917,13.54,24,Approved,Defaulted,True,Bank
LOAN_faaa4b,FARMER_046,Irrigation,219348,12.55,12,Rejected,,False,NGO
LOAN_f65174,FARMER_047,Fertilizer,136076,24.63,12,Approved,Partially Paid,False,Government
LOAN_e1297d,FARMER_048,Fertilizer,168523,11.01,18,Approved,Fully Paid,False,Microfinance
LOAN_3f5963,FARMER_049,Equipment,55861,13.34,18,Rejected,,False,Bank
LOAN_1aa71b,FARMER_050,Land Expansion,225573,20.18,18,Rejected,,True,Bank
LOAN_f3e487,FARMER_051,Labor,309422,22.61,6,Approved,Partially Paid,True,Microfinance
LOAN_bdd0c7,FARMER_052,Land Expansion,176009,22.57,18,Approved,Partially Paid,True,Government
LOAN_2b3153,FARMER_053,Irrigation,147173,12.89,6,Rejected,,False,Government
LOAN_24b3a0,FARMER_054,Land Expansion,487432,23.97,24,Approved,Defaulted,False,NGO
LOAN_d5c6f4,FARMER_055,Land Expansion,148294,18.07,12,Rejected,,False,Microfinance
LOAN_7f1cf3,FARMER_056,Irrigation,344090,22.02,24,Approved,Partially Paid,False,Microfinance
LOAN_391acb,FARMER_057,Land Expansion,102255,23.53,18,Rejected,,True,Government
LOAN_aa47f8,FARMER_058,Labor,153056,9.67,18,Rejected,,False,NGO
LOAN_4ca020,FARMER_059,Fertilizer,144376,14.98,6,Approved,Fully Paid,False,NGO
LOAN_bc6a54,FARMER_060,Labor,198501,16.76,6,Rejected,,False,Microfinance
LOAN_98ad12,FARMER_061,Fertilizer,451231,21.05,24,Rejected,,True,Government
LOAN_73a136,FARMER_062,Fertilizer,102009,13.02,24,Approved,Partially Paid,False,Microfinance
LOAN_3adc1e,FARMER_063,Land Expansion,83870,9.21,18,Approved,Fully Paid,False,Government
LOAN_794d86,FARMER_064,Fertilizer,352215,19.86,6,Rejected,,False,Microfinance
LOAN_234e26,FARMER_065,Irrigation,302205,16.85,6,Approved,Fully Paid,False,Bank
LOAN_41cc50,FARMER_066,Labor,372223,22.97,24,Approved,Fully Paid,True,Bank
LOAN_2b152f,FARMER_067,Fertilizer,432834,18.1,6,Rejected,,False,NGO
LOAN_18513c,FARMER_068,Land Expansion,74962,5.34,24,Approved,Fully Paid,False,Bank
LOAN_5c486c,FARMER_069,Land Expansion,133532,24.33,12,Rejected,,False,Microfinance
LOAN_72149d,FARMER_070,Land Expansion,100717,16.86,18,Approved,Defaulted,False,Government
LOAN_2efd00,FARMER_071,Equipment,282731,16.92,6,Approved,Defaulted,False,Government
LOAN_aba57d,FARMER_072,Labor,249115,23.19,6,Approved,Fully Paid,False,Government
LOAN_a509ff,FARMER_073,Land Expansion,199656,18.28,12,Approved,Defaulted,False,Bank
LOAN_1282f8,FARMER_074,Irrigation,365300,14.59,12,Approved,Fully Paid,False,Bank
LOAN_b25df2,FARMER_075,Land Expansion,104962,7.15,12,Rejected,,False,Government
LOAN_bce957,FARMER_076,Equipment,195894,24.24,24,Rejected,,False,Microfinance
LOAN_9db5de,FARMER_077,Labor,310690,6.57,24,Rejected,,False,Microfinance
LOAN_8b8ac5,FARMER_078,Fertilizer,397847,8.41,12,Approved,Partially Paid,False,NGO
LOAN_d0ea97,FARMER_079,Labor,360245,21.39,18,Approved,Fully Paid,False,Government
LOAN_8c04fb,FARMER_080,Fertilizer,279186,14.81,18,Approved,Fully Paid,False,Government
LOAN_8f2b18,FARMER_081,Fertilizer,225061,8.57,6,Approved,Fully Paid,True,Microfinance
LOAN_2e8e8e,FARMER_082,Land Expansion,148944,10.72,24,Approved,Defaulted,True,Government
LOAN_6f6750,FARMER_083,Irrigation,332614,24.88,18,Rejected,,True,NGO
LOAN_8ca57d,FARMER_084,Irrigation,159491,16.68,6,Rejected,,False,Microfinance
LOAN_d23519,FARMER_085,Land Expansion,404494,13.03,18,Approved,Fully Paid,True,Microfinance
LOAN_797473,FARMER_086,Equipment,347011,22.52,24,Approved,Fully Paid,False,Bank
LOAN_94ee42,FARMER_087,Fertilizer,191906,14.59,18,Approved,Fully Paid,False,NGO
LOAN_4b949a,FARMER_088,Irrigation,437412,11.16,18,Rejected,,False,Bank
LOAN_70355b,FARMER_089,Labor,238091,8.28,24,Rejected,,False,NGO
LOAN_359aaa,FARMER_090,Equipment,130396,19.89,6,Approved,Partially Paid,False,Bank
LOAN_ea3c91,FARMER_091,Land Expansion,483882,16.92,6,Rejected,,False,Government
LOAN_660d02,FARMER_092,Equipment,127813,6.85,12,Approved,Partially Paid,False,Microfinance
LOAN_283aba,FARMER_093,Irrigation,399853,16.83,6,Rejected,,False,Government
LOAN_35610d,FARMER_094,Land Expansion,446965,8.19,12,Approved,Fully Paid,False,Government
LOAN_2c84b1,FARMER_095,Irrigation,54746,24.63,24,Rejected,,False,NGO
LOAN_ae1be7,FARMER_096,Fertilizer,370922,10.19,6,Approved,Partially Paid,False,NGO
LOAN_4053d5,FARMER_097,Equipment,171883,18.92,24,Rejected,,False,NGO
LOAN_0eaa03,FARMER_098,Fertilizer,493801,18.12,6,Approved,Fully Paid,False,Government
LOAN_b0f8ed,FARMER_099,Labor,416950,18.83,18,Approved,Partially Paid,False,Microfinance
LOAN_5fe802,FARMER_100,Fertilizer,311115,13.6,6,Approved,Partially Paid,False,Bank
LOAN_4c0172,FARMER_101,Equipment,92399,6.49,18,Approved,Fully Paid,True,NGO
LOAN_b654a6,FARMER_102,Labor,414725,24.6,6,Approved,Fully Paid,False,Microfinance
LOAN_20e852,FARMER_103,Irrigation,77544,8.83,24,Rejected,,False,Microfinance
LOAN_1a6685,FARMER_104,Labor,415335,20.39,12,Approved,Partially Paid,False,NGO
LOAN_78eb78,FARMER_105,Equipment,254711,7.75,6,Rejected,,True,Government
LOAN_99e658,FARMER_106,Land Expansion,128490,10.62,24,Rejected,,False,Government
LOAN_361a18,FARMER_107,Labor,194085,16.2,18,Approved,Partially Paid,False,Bank
LOAN_cbac87,FARMER_108,Irrigation,270499,13.27,18,Approved,Fully Paid,False,Microfinance
LOAN_bca37a,FARMER_109,Labor,373652,24.17,18,Approved,Partially Paid,True,Bank
LOAN_9bd368,FARMER_110,Fertilizer,58668,21.95,18,Approved,Fully Paid,False,Government
LOAN_cfbf1f,FARMER_111,Land Expansion,177300,23.44,24,Approved,Partially Paid,False,Government
LOAN_5e5b79,FARMER_112,Equipment,436342,17.81,6,Rejected,,False,Bank
LOAN_0e54b2,FARMER_113,Land Expansion,71712,9.38,18,Approved,Defaulted,False,Bank
LOAN_f6175a,FARMER_114,Fertilizer,55194,15.37,18,Approved,Fully Paid,False,Microfinance
LOAN_979320,FARMER_115,Land Expansion,342693,20.31,6,Rejected,,False,Bank
LOAN_72becf,FARMER_116,Fertilizer,97390,6.29,24,Approved,Partially Paid,False,Bank
LOAN_44cb3b,FARMER_117,Labor,55350,22.26,18,Approved,Fully Paid,False,Microfinance
LOAN_679684,FARMER_118,Equipment,448912,17.63,12,Rejected,,False,Government
